學校,招生系科,招生群類別,一般考生招生名額,國文,英文,數學,專業一,專業二
國立臺灣科技大學,機械工程系,01機械群,40,--,4,4,2,2
國立臺灣科技大學,機械工程系,02動力機械群,2,--,4,4,2,2
國立臺灣科技大學,材料科學與工程系,01機械群,6,6,4,4,3,3
國立臺灣科技大學,材料科學與工程系,03電機群,4,6,4,4,3,3
國立臺灣科技大學,材料科學與工程系,05化工群,13,6,4,4,3,3
國立臺灣科技大學,營建工程系,06土木與建築群,32,--,8,4,2,2
國立臺灣科技大學,化學工程系,05化工群,34,--,4,4,3,3
國立臺灣科技大學,電子工程系,04電子群,45,--,4,3,2,2
國立臺灣科技大學,電機工程系,03電機群,39,5,5,5,2,2
國立臺灣科技大學,資訊工程系,04電子群,19,6,6,4,--,2.5
國立臺灣科技大學,企業管理系,09商業與管理群,26,4,4,4,3,3
國立臺灣科技大學,資訊管理系,04電子群,7,5,4,3,--,2
國立臺灣科技大學,資訊管理系,09商業與管理群,11,5,4,3,2,2
國立臺灣科技大學,資訊管理系（資安人才）,09商業與管理群,1,5,4,3,2,2
國立臺灣科技大學,設計系工業設計組,07設計群,11,4,4,4,3,2.5
國立臺灣科技大學,設計系商業設計組,07設計群,11,4,4,4,3,2.5
國立臺灣科技大學,建築系,06土木與建築群,14,5,5,5,2,2
國立臺灣科技大學,建築系,07設計群,8,5,5,5,2,2
國立臺灣科技大學,應用外語系,15外語群英語類,15,--,5,--,--,3
國立雲林科技大學,機械工程系,01機械群,78,--,5.5,4,3,3.5
國立雲林科技大學,機械工程系,02動力機械群,7,--,9,6,3,4.5
國立雲林科技大學,電機工程系,03電機群,74,5,5,5,3,3
國立雲林科技大學,電機工程系,04電子群,3,5,5,5,3,3
國立雲林科技大學,電子工程系電子工程組,03電機群,5,8,6,4,3,3
國立雲林科技大學,電子工程系電子工程組,04電子群,60,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,02動力機械群,6,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,03電機群,3,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,04電子群,3,8,6,4,3,3
國立雲林科技大學,環境與安全衛生工程系,01機械群,11,--,5,4,3,3
國立雲林科技大學,環境與安全衛生工程系,05化工群,6,--,5,4,3,3
國立雲林科技大學,環境與安全衛生工程系,04電子群,10,--,5,4,3,3
國立雲林科技大學,化學工程與材料工程系,05化工群,67,--,5,5,3,3
國立雲林科技大學,營建工程系,01機械群,1,--,8,8,3,3
國立雲林科技大學,營建工程系,06土木與建築群,41,--,8,8,3,3
國立雲林科技大學,資訊工程系,03電機群,2,--,--,10,3,--
國立雲林科技大學,資訊工程系,04電子群,30,--,--,10,--,3
國立雲林科技大學,工業工程與管理系,01機械群,24,10,--,--,--,3
國立雲林科技大學,工業工程與管理系,04電子群,5,10,--,--,--,3
國立雲林科技大學,工業工程與管理系,09商業與管理群,34,10,--,--,3,--
國立雲林科技大學,企業管理系,09商業與管理群,17,10,8,6,3,3
國立雲林科技大學,企業管理系,15外語群英語類,7,10,8,6,3,3
國立雲林科技大學,企業管理系,16外語群日語類,4,10,8,6,3,3
國立雲林科技大學,資訊管理系,21資管類,24,--,7,7,3,4
國立雲林科技大學,資訊管理系,04電子群,11,--,7,7,--,3
國立雲林科技大學,資訊管理系（資安人才）,04電子群,2,--,20,10,--,3
國立雲林科技大學,財務金融系,09商業與管理群,28,--,--,10,7,3
國立雲林科技大學,財務金融系,04電子群,3,4,4,4,--,3
國立雲林科技大學,會計系,09商業與管理群,34,7,7,7,3,3
國立雲林科技大學,國際管理學士學位學程,09商業與管理群,11,--,6,--,3,--
國立雲林科技大學,國際管理學士學位學程,15外語群英語類,2,--,6,--,3,--
國立雲林科技大學,工業設計系,01機械群,4,8,5,--,3,4
國立雲林科技大學,工業設計系,07設計群,19,4.5,4,--,3,3.5
國立雲林科技大學,工業設計系,04電子群,1,10,7,--,3,5
國立雲林科技大學,視覺傳達設計系,07設計群,24,4,4,--,2.5,2.5
國立雲林科技大學,建築與室內設計系建築組,06土木與建築群,3,5,5,5,3,3
國立雲林科技大學,建築與室內設計系建築組,07設計群,8,5,5,5,3,3
國立雲林科技大學,建築與室內設計系室內組,06土木與建築群,3,5,5,5,3,3
國立雲林科技大學,建築與室內設計系室內組,07設計群,9,5,5,5,3,3
國立雲林科技大學,數位媒體設計系,07設計群,25,7,--,--,3,3.5
國立雲林科技大學,數位媒體設計系,20影視群,1,20,--,--,3,6
國立雲林科技大學,創意生活設計系,06土木與建築群,3,6,6,10,3,3
國立雲林科技大學,創意生活設計系,07設計群,11,6,6,10,3,3
國立雲林科技大學,創意生活設計系,13家政群生活應用類,3,6,6,10,3,3
國立雲林科技大學,跨域整合設計學士學位學程,06土木與建築群,1,5,--,--,--,3
國立雲林科技大學,跨域整合設計學士學位學程,07設計群,6,5,--,--,--,3
國立雲林科技大學,應用外語系,09商業與管理群,3,7,5,8,3,3
國立雲林科技大學,應用外語系,15外語群英語類,34,7,5,8,3,4.5
國立雲林科技大學,應用外語系,21資管類,1,5,6,7,3,3
國立雲林科技大學,文化資產維護系,05化工群,6,6,5,--,4,3
國立雲林科技大學,文化資產維護系,07設計群,12,6,5,--,4,3
國立雲林科技大學,文化資產維護系,09商業與管理群,11,6,5,--,4,3
國立雲林科技大學,智慧機器人學士學位學程,01機械群,2,10,8,6,4,3
國立雲林科技大學,智慧機器人學士學位學程,03電機群,3,10,8,6,3,4
國立雲林科技大學,智慧機器人學士學位學程,04電子群,4,10,8,6,4,3
國立屏東科技大學,農園生產系,14農業群,60,--,5,--,3.5,3
國立屏東科技大學,森林系,14農業群,32,4,--,--,3,3
國立屏東科技大學,水產養殖系,10衛生與護理類,5,6,6,--,3,--
國立屏東科技大學,水產養殖系,14農業群,17,6,6,--,3,--
國立屏東科技大學,水產養殖系,19水產群,11,6,6,--,3,--
國立屏東科技大學,動物科學與畜產系,14農業群,32,5,--,--,3,3
國立屏東科技大學,植物醫學系,09商業與管理群,3,6,--,--,3,3
國立屏東科技大學,植物醫學系,10衛生與護理類,3,6,--,--,3,3
國立屏東科技大學,植物醫學系,14農業群,25,6,--,--,3,3
國立屏東科技大學,木材科學與設計系,06土木與建築群,2,6,5,--,3,3
國立屏東科技大學,木材科學與設計系,07設計群,18,6,5,--,3,3
國立屏東科技大學,木材科學與設計系,14農業群,10,6,5,--,3,3
國立屏東科技大學,生物科技系,05化工群,4,6,--,--,4,3
國立屏東科技大學,生物科技系,11食品群,10,6,--,--,4,3
國立屏東科技大學,生物科技系,14農業群,20,6,--,--,3,4
國立屏東科技大學,食品科學系,11食品群,62,--,--,--,3,3
國立屏東科技大學,環境工程與科學系,05化工群,40,--,5,5,3,3
國立屏東科技大學,環境工程與科學系,08工程與管理類,1,--,5,5,3,3
