招生群類別,成績區間,國文,英文,數學,專業一,專業二
01機械群,99.01～100,1,60,84,1,0
01機械群,98.01～99,0,204,0,0,0
01機械群,97.01～98,0,98,0,3,2
01機械群,96.01～97,0,438,0,0,0
01機械群,95.01～96,6,142,189,0,10
01機械群,94.01～95,0,614,0,6,0
01機械群,93.01～94,17,211,0,0,16
01機械群,92.01～93,0,620,0,10,0
01機械群,91.01～92,49,256,337,0,29
01機械群,90.01～91,0,607,0,0,0
01機械群,89.01～90,67,276,0,30,46
01機械群,88.01～89,0,555,0,0,0
01機械群,87.01～88,158,297,419,38,64
01機械群,86.01～87,0,538,0,0,0
01機械群,85.01～86,267,314,0,0,62
01機械群,84.01～85,1,507,0,48,0
01機械群,83.01～84,481,362,415,0,67
01機械群,82.01～83,0,470,0,49,0
01機械群,81.01～82,612,397,0,0,83
01機械群,80.01～81,0,417,0,0,0
01機械群,79.01～80,876,377,486,75,96
01機械群,78.01～79,0,404,0,0,0
01機械群,77.01～78,1168,399,0,72,90
01機械群,76.01～77,0,393,0,0,0
01機械群,75.01～76,1427,431,477,0,90
01機械群,74.01～75,0,342,0,63,0
01機械群,73.01～74,1766,498,0,0,109
01機械群,72.01～73,0,315,0,76,0
01機械群,71.01～72,2001,519,568,0,108
01機械群,70.01～71,0,336,0,0,0
01機械群,69.01～70,2267,524,0,74,113
01機械群,68.01～69,1,327,0,0,0
01機械群,67.01～68,2495,547,578,68,109
01機械群,66.01～67,1,318,0,0,0
01機械群,65.01～66,2714,550,0,0,113
01機械群,64.01～65,2,321,0,78,0
01機械群,63.01～64,2876,573,621,0,149
01機械群,62.01～63,0,298,0,111,0
01機械群,61.01～62,2822,597,0,0,146
01機械群,60.01～61,0,323,0,0,0
01機械群,59.01～60,2939,613,705,99,140
01機械群,58.01～59,0,328,0,0,0
01機械群,57.01～58,2938,620,0,100,166
01機械群,56.01～57,0,346,0,0,0
01機械群,55.01～56,2870,607,821,0,163
01機械群,54.01～55,0,393,0,146,0
01機械群,53.01～54,2849,655,1,0,173
01機械群,52.01～53,1,398,0,171,0
01機械群,51.01～52,2718,641,885,0,179
01機械群,50.01～51,0,442,0,0,0
01機械群,49.01～50,2616,713,0,190,202
01機械群,48.01～49,1,390,0,0,0
01機械群,47.01～48,2468,706,1025,241,203
01機械群,46.01～47,0,479,0,0,0
01機械群,45.01～46,2387,718,0,0,223
01機械群,44.01～45,0,499,0,315,0
01機械群,43.01～44,2154,682,1216,0,245
01機械群,42.01～43,0,521,0,275,0
01機械群,41.01～42,2052,730,0,0,261
01機械群,40.01～41,1,547,0,0,0
01機械群,39.01～40,1841,741,1547,381,296
01機械群,38.01～39,2,633,0,0,0
01機械群,37.01～38,1655,818,1,411,304
01機械群,36.01～37,2,583,0,0,0
01機械群,35.01～36,1610,950,1816,0,325
01機械群,34.01～35,0,714,0,514,0
01機械群,33.01～34,1419,1049,0,0,309
01機械群,32.01～33,1,721,0,472,0
01機械群,31.01～32,1230,1359,2142,0,277
01機械群,30.01～31,1,770,1,0,0
01機械群,29.01～30,1041,1607,0,479,258
01機械群,28.01～29,1,836,0,0,0
01機械群,27.01～28,907,2002,2705,522,224
01機械群,26.01～27,0,834,0,0,0
01機械群,25.01～26,841,2398,1,0,205
01機械群,24.01～25,1,901,0,330,0
01機械群,23.01～24,724,2765,2460,0,121
01機械群,22.01～23,0,957,1,235,0
01機械群,21.01～22,639,3440,2,0,97
01機械群,20.01～21,0,583,0,0,0
01機械群,19.01～20,751,3837,1405,164,67
01機械群,18.01～19,3,380,0,0,0
01機械群,17.01～18,601,2338,1,82,27
01機械群,16.01～17,0,256,0,0,0
01機械群,15.01～16,340,1551,773,0,17
01機械群,14.01～15,0,136,0,43,0
01機械群,13.01～14,232,1030,0,0,11
01機械群,12.01～13,0,72,0,16,0
01機械群,11.01～12,147,591,391,0,2
01機械群,10.01～11,1,25,0,0,0
01機械群,9.01～10,65,250,0,7,0
01機械群,8.01～9,0,10,0,0,0
01機械群,7.01～8,41,117,134,1,0
01機械群,6.01～7,0,2,0,0,0
01機械群,5.01～6,13,28,0,0,0
01機械群,4.01～5,0,0,0,1,0
01機械群,3.01～4,6,6,23,0,0
01機械群,2.01～3,0,0,0,0,0
01機械群,1.01～2,2,1,0,0,1
01機械群,0.01～1,0,0,0,0,0
01機械群,0.00,14,11,8,1,0
02動力機械群,99.01～100,1,60,84,0,0
02動力機械群,98.01～99,0,204,0,0,0
02動力機械群,97.01～98,0,98,0,0,0
02動力機械群,96.01～97,0,438,0,0,0
02動力機械群,95.01～96,6,142,189,0,0
02動力機械群,94.01～95,0,614,0,1,4
02動力機械群,93.01～94,17,211,0,0,0
02動力機械群,92.01～93,0,620,0,2,5
02動力機械群,91.01～92,49,256,337,0,0
02動力機械群,90.01～91,0,607,0,0,0
02動力機械群,89.01～90,67,276,0,1,1
02動力機械群,88.01～89,0,555,0,0,0
02動力機械群,87.01～88,158,297,419,2,4
02動力機械群,86.01～87,0,538,0,0,0
02動力機械群,85.01～86,267,314,0,0,0
02動力機械群,84.01～85,1,507,0,3,6
02動力機械群,83.01～84,481,362,415,0,0
02動力機械群,82.01～83,0,470,0,3,7
02動力機械群,81.01～82,612,397,0,0,0
02動力機械群,80.01～81,0,417,0,0,0
02動力機械群,79.01～80,876,377,486,6,13
02動力機械群,78.01～79,0,404,0,0,0
02動力機械群,77.01～78,1168,399,0,6,14
02動力機械群,76.01～77,0,393,0,0,0
02動力機械群,75.01～76,1427,431,477,0,0
02動力機械群,74.01～75,0,342,0,7,13
02動力機械群,73.01～74,1766,498,0,0,0
02動力機械群,72.01～73,0,315,0,19,17
02動力機械群,71.01～72,2001,519,568,0,0
02動力機械群,70.01～71,0,336,0,0,0
02動力機械群,69.01～70,2267,524,0,13,27
02動力機械群,68.01～69,1,327,0,0,0
02動力機械群,67.01～68,2495,547,578,16,37
02動力機械群,66.01～67,1,318,0,0,0
02動力機械群,65.01～66,2714,550,0,0,0
02動力機械群,64.01～65,2,321,0,24,33
02動力機械群,63.01～64,2876,573,621,0,0
02動力機械群,62.01～63,0,298,0,20,30
02動力機械群,61.01～62,2822,597,0,0,0
02動力機械群,60.01～61,0,323,0,0,0
02動力機械群,59.01～60,2939,613,705,23,33
02動力機械群,58.01～59,0,328,0,0,0
02動力機械群,57.01～58,2938,620,0,35,47
02動力機械群,56.01～57,0,346,0,0,0
02動力機械群,55.01～56,2870,607,821,0,0
02動力機械群,54.01～55,0,393,0,38,80
02動力機械群,53.01～54,2849,655,1,0,0
02動力機械群,52.01～53,1,398,0,53,79
02動力機械群,51.01～52,2718,641,885,0,0
02動力機械群,50.01～51,0,442,0,0,0
02動力機械群,49.01～50,2616,713,0,44,120
02動力機械群,48.01～49,1,390,0,0,0
02動力機械群,47.01～48,2468,706,1025,81,143
02動力機械群,46.01～47,0,479,0,0,0
02動力機械群,45.01～46,2387,718,0,0,0
02動力機械群,44.01～45,0,499,0,78,163
02動力機械群,43.01～44,2154,682,1216,0,0
02動力機械群,42.01～43,0,521,0,83,185
02動力機械群,41.01～42,2052,730,0,0,0
02動力機械群,40.01～41,1,547,0,0,0
02動力機械群,39.01～40,1841,741,1547,116,206
02動力機械群,38.01～39,2,633,0,0,0
02動力機械群,37.01～38,1655,818,1,152,196
02動力機械群,36.01～37,2,583,0,0,0
02動力機械群,35.01～36,1610,950,1816,0,0
02動力機械群,34.01～35,0,714,0,193,188
02動力機械群,33.01～34,1419,1049,0,0,0
02動力機械群,32.01～33,1,721,0,220,182
02動力機械群,31.01～32,1230,1359,2142,0,0
02動力機械群,30.01～31,1,770,1,0,2
02動力機械群,29.01～30,1041,1607,0,233,159
02動力機械群,28.01～29,1,836,0,0,0
02動力機械群,27.01～28,907,2002,2705,225,156
02動力機械群,26.01～27,0,834,0,0,0
02動力機械群,25.01～26,841,2398,1,0,0
02動力機械群,24.01～25,1,901,0,339,122
02動力機械群,23.01～24,724,2765,2460,0,0
02動力機械群,22.01～23,0,957,1,175,74
02動力機械群,21.01～22,639,3440,2,0,0
02動力機械群,20.01～21,0,583,0,0,0
02動力機械群,19.01～20,751,3837,1405,129,55
02動力機械群,18.01～19,3,380,0,0,0
02動力機械群,17.01～18,601,2338,1,81,34
02動力機械群,16.01～17,0,256,0,0,0
02動力機械群,15.01～16,340,1551,773,0,0
02動力機械群,14.01～15,0,136,0,47,21
02動力機械群,13.01～14,232,1030,0,0,0
02動力機械群,12.01～13,0,72,0,16,5
02動力機械群,11.01～12,147,591,391,0,0
02動力機械群,10.01～11,1,25,0,0,0
02動力機械群,9.01～10,65,250,0,6,4
02動力機械群,8.01～9,0,10,0,0,0
02動力機械群,7.01～8,41,117,134,0,2
02動力機械群,6.01～7,0,2,0,0,0
02動力機械群,5.01～6,13,28,0,0,0
02動力機械群,4.01～5,0,0,0,2,0
02動力機械群,3.01～4,6,6,23,0,0
02動力機械群,2.01～3,0,0,0,0,0
02動力機械群,1.01～2,2,1,0,0,0
02動力機械群,0.01～1,0,0,0,0,0
02動力機械群,0.00,14,11,8,1,1
03電機群,99.01～100,1,60,84,27,3
03電機群,98.01～99,0,204,0,0,0
03電機群,97.01～98,0,98,0,68,14
03電機群,96.01～97,0,438,0,0,0
03電機群,95.01～96,6,142,189,121,38
03電機群,94.01～95,0,614,0,0,0
03電機群,93.01～94,17,211,0,123,43
03電機群,92.01～93,0,620,0,0,0
03電機群,91.01～92,49,256,337,135,59
03電機群,90.01～91,0,607,0,0,0
03電機群,89.01～90,67,276,0,140,77
03電機群,88.01～89,0,555,0,0,0
03電機群,87.01～88,158,297,419,144,78
03電機群,86.01～87,0,538,0,0,0
