招生系科,招生群類別,國文,英文,數學,專業一,專業二
護理系（林口校區）,10衛生與護理類,66,44.5,52,50,74
護理系（林口校區）,10衛生與護理類,46,38,20,50,70
護理系（林口校區）,10衛生與護理類,52,56,52,40,74
護理系（林口校區）,10衛生與護理類,38,30,12,28,42
護理系（林口校區）,10衛生與護理類,64,38,32,40,62
護理系（林口校區）,10衛生與護理類,48,13.5,40,28,58
護理系（林口校區）,10衛生與護理類,62,79.5,28,26,66
護理系（林口校區）,10衛生與護理類,34,35,24,26,40
護理系（林口校區）,10衛生與護理類,44,54,40,24,40
護理系（林口校區）,10衛生與護理類,52,50.25,48,38,88
護理系（林口校區）,10衛生與護理類,58,57.5,76,72,84
護理系（林口校區）,10衛生與護理類,70,81,76,50,90
護理系（林口校區）,10衛生與護理類,62,65.5,52,68,78
護理系（林口校區）,10衛生與護理類,64,79.5,92,60,88
護理系（林口校區）,10衛生與護理類,62,73.5,84,72,92
護理系（林口校區）,10衛生與護理類,56,73.5,68,56,88
護理系（林口校區）,10衛生與護理類,52,70,80,54,80
護理系（林口校區）,10衛生與護理類,56,37.5,44,42,70
護理系（林口校區）,10衛生與護理類,64,49.75,20,38,58
護理系（林口校區）,10衛生與護理類,70,37.5,40,44,72
護理系（林口校區）,10衛生與護理類,48,25.5,32,32,52
護理系（林口校區）,10衛生與護理類,86,64,92,54,88
護理系（林口校區）,10衛生與護理類,74,72,68,52,74
護理系（林口校區）,10衛生與護理類,66,71,72,54,80
護理系（林口校區）,10衛生與護理類,78,72,72,56,68
護理系（林口校區）,10衛生與護理類,60,71.5,88,50,84
護理系（林口校區）,10衛生與護理類,68,54,88,44,76
護理系（林口校區）,10衛生與護理類,62,51,40,48,84
護理系（林口校區）,10衛生與護理類,54,52.5,60,24,60
護理系（林口校區）,10衛生與護理類,40,54,24,30,52
護理系（林口校區）,10衛生與護理類,34,27.5,16,32,32
護理系（林口校區）,10衛生與護理類,40,29,28,24,46
護理系（林口校區）,10衛生與護理類,60,25.5,44,36,74
護理系（林口校區）,10衛生與護理類,46,51,32,36,54
護理系（林口校區）,10衛生與護理類,26,46,32,28,48
護理系（林口校區）,10衛生與護理類,50,37.5,44,30,50
護理系（林口校區）,10衛生與護理類,46,45,32,40,68
護理系（林口校區）,10衛生與護理類,40,26,24,30,42
護理系（林口校區）,10衛生與護理類,38,42.5,28,24,66
護理系（林口校區）,10衛生與護理類,58,44,20,20,58
護理系（林口校區）,10衛生與護理類,64,43.5,40,38,58
護理系（林口校區）,10衛生與護理類,48,70.75,24,40,74
護理系（林口校區）,10衛生與護理類,54,51,36,32,68
護理系（林口校區）,10衛生與護理類,68,75,72,68,88
護理系（林口校區）,10衛生與護理類,52,82,84,82,90
護理系（林口校區）,10衛生與護理類,46,13,28,32,44
護理系（林口校區）,10衛生與護理類,74,85.5,76,68,76
護理系（林口校區）,10衛生與護理類,56,49.5,92,52,78
護理系（林口校區）,10衛生與護理類,74,92.5,48,40,66
護理系（林口校區）,10衛生與護理類,50,41,32,40,46
